	HDRR_1	HDRR_2	HDRR_3	HDRR_4	HDRR_5	HDRR_6	HDRR_7	HDRR_8	HDRR_9	HDRR_10	HDRR_11	HDRR_12	HDRR_13	HDRR_14	HDRR_15	HDRR_16	HDRR_17	HDRR_18	HDRR_19	HDRR_20	HDRR_21	HDRR_22	HDRR_23	HDRR_24	HDRR_MT
4-1	9425.94799225496	2968.6009622288234	4466.096802656936	151590.1394777306	7401.959609982851	60780.85967110651	6444.729268146744	6691.53724003245	8378.966510676337	9670.549815088787	6184.253567569102	6314.72510913855	8677.232264798602	5101.835293187517	4407.076676261241	6625.843355289488	10941.889004818448	4304.648588790237	4401.58305423194	5293.372816766414	3684.9125612745956	6339.39673739	4801.819278674214	5518.794872547218	340.5768163992396
4-2	8781.631798058743	3463.1209336023508	5170.732592001754	126870.10063098985	8743.605350759075	65576.8522066324	7052.6753750473345	8641.107758329277	8684.19182316227	9234.793504733212	6289.022736624916	6811.680856800457	8627.63656585796	5213.824510933879	4594.214364553325	5903.020280484559	8006.694556345086	5165.013298742167	4689.864049672926	5287.73929619967	4001.7249510173265	6974.121881824061	5366.049647603031	5286.8755892694635	386.3223900769128
7-1																									
7-2																									
11-1	9485.125490643975	3071.6307514339746	4522.663459174415	150662.2054313122	7496.335192031624	55692.45914920336	6892.307831827322	6632.503769826347	7148.302566677835	7272.905760682937	5932.203987284996	5924.247691016233	8455.682501581356	5096.061064812327	4169.405423114594	5975.418819522076	10695.146195558491	5393.746388462702	4452.477901441751	4191.7099774858425	3986.6691787605173	5963.292521273988	4658.679714493445	5550.912099977019	265.94258083364554
69-1	19295.145790704886	5568.995773175994	6552.14054874495	37070.507089342806	9190.716586759087	14571.14631369485	8166.267264641441	9045.324240714992	12633.660261364179	12566.594172616475	11594.450209079378	9213.744216768642	16302.059616950108	8946.487997430182	8045.158829002012	13485.778091894003	31973.35018923958	10948.628935178687	7858.560938481152	5441.573614887444	9718.119551749634	9984.055272877607	7083.144927931729	14812.853045379183	180.22664312528727
79-2	7976.888114525071	2755.5082787693937	4107.254898849158	174728.12323266163	7271.496433003053	66592.98298490369	5243.180297514885	6530.048662424052	6419.53988390103	7655.731267734371	5777.389372219818	4908.002101475378	6739.851440025607	4572.465785572809	3677.283488332417	5103.725629404786	8087.248693550642	4649.562157068987	4117.412303452213	3973.422959731559	3938.871521058934	5470.665675443284	4250.14852073981	4966.030372126301	388.64941853804686
80-1	7023.782281614515	2487.678175343981	3593.9021233812045	158710.00846552989	6136.463611077839	68806.01969823822	5471.90423682901	5993.89141262806	6331.201750544631	6775.942351740145	4948.436261234638	5129.38429564453	7042.889787547104	4107.4839566657365	3641.028455624592	5052.7395044849345	7009.5324951688735	4136.950640118057	3964.6588247598065	4100.760646077694	3169.8226698404733	4895.227107086943	4049.9120119042254	4355.739522821258	245.1861899387447
117-2	8114.210576929045	2833.7896477815866	4250.313497676584	168053.37686775363	6636.5476927475265	52855.809594434264	6677.508154615237	5649.5229599504355	7078.831037307461	7407.752108554926	5129.173951255584	5604.222034084472	7732.534105192155	4449.851060543553	3506.2343404197823	6017.976709137713	7907.532311433841	4101.980968298871	3906.6374067810325	4624.666222446832	3163.4658892613916	5413.712686745121	4045.405356472755	4933.256556836328	294.5350764678063
131-1																									
134-1	12312.476473343879	3985.1573032367114	5439.973528150538	107677.51613010684	8093.860578341909	44713.369942838304	10257.29667610495	7949.554699745584	9712.869465026595	8774.301383357724	8218.057421902451	6635.763691046626	10001.749075657053	7213.531563056077	7450.656223901316	9323.89829967935	17989.35510539753	6531.676934306098	6128.127434474479	5120.263135644714	5746.80583420534	8172.227960309233	5144.17161907148	11466.361759235499	627.8995044058242
134-2																									
