	HDRR_1	HDRR_2	HDRR_3	HDRR_4	HDRR_5	HDRR_6	HDRR_7	HDRR_8	HDRR_9	HDRR_10	HDRR_11	HDRR_12	HDRR_13	HDRR_14	HDRR_15	HDRR_16	HDRR_17	HDRR_18	HDRR_19	HDRR_20	HDRR_21	HDRR_22	HDRR_23	HDRR_24	HDRR_MT
4-1	31451.769017541195	20514.094458549986	27057.41098290392	25806.35460249102	26340.01207745659	23787.902270224575	24518.053344858214	18249.2381611348	24779.495994877205	24753.903542142307	22643.535234391	24684.887680606676	25258.702474185895	26825.729942464197	21958.028482566166	23782.401226654125	23549.121632433227	22740.575959753704	18688.062092826774	19019.771559709337	24053.70307713706	21484.695058394238	21898.703496077367	16654.49265892727	25.34087111173737
4-2	30395.004627413822	20482.630345794914	27096.975813127632	25467.273297114793	26373.30071611759	23535.47745466925	24833.286546047126	18374.42401731686	24971.935035821356	24386.423332517323	22576.51105052216	24494.083189322002	25338.661213052237	26825.381607426993	21784.44550343488	23455.74636476771	23208.092667018584	22804.16630123759	18727.17299336996	18799.842086405024	24125.052603871805	21747.98213114887	21758.657351262336	16752.225378202987	21.741683305106765
7-1	31146.064803289817	20455.933407128377	27405.270277263426	26006.60720315411	26575.857406495856	23640.679180727187	24868.21029260434	18491.60241393987	24776.325337332313	24629.376171172986	22805.8968459956	24714.81255074466	25469.22332675256	26245.538699356974	21933.75376990699	23769.388550260228	23671.817545226477	23016.81027479685	18375.335420205138	19158.939334991668	24204.56159720545	21313.41982004416	22062.13160761533	16828.480316520352	23.220789619170933
7-2	30481.789602768637	20829.070892496267	27471.629182183227	25634.656550274187	26305.8448855913	23550.68502446801	24352.84736519726	18383.26105547994	24610.04730000761	24652.645889829582	22543.41749317437	24701.40253633354	25362.32431175186	26244.124668553577	21812.407874664765	23715.136096189053	23711.043951945096	22712.731683331	18408.524454449085	18679.08618091359	24138.357564819562	21360.40205626407	21896.34286776366	16871.993727335386	22.149719464583868
11-1	30313.597381914275	20628.152966598704	26996.282434738976	25534.512225974646	26451.09026861099	23479.625109536846	24522.047648469485	18456.937041868943	24497.44137719241	24578.290678347672	22436.515617612553	24493.323533762457	25288.25002829053	27398.637832822744	21936.91336755717	23458.16456464731	23623.911553620557	22829.271538107143	18621.45329561429	18963.053504473926	24339.12935635945	21527.8437786336	21784.57617890348	16834.068922147497	24.034111513726046
69-1	30193.57042956521	21035.769961315	26946.749602377102	26124.254656648765	26466.37687182364	23579.400829115082	24352.359809816422	18425.437097326936	24733.70375229809	24402.157572989836	22619.38535915238	24394.14488876249	25241.371281069347	26608.9303264085	22067.25559343933	23573.420043344715	23487.026040708748	22920.62545954966	18950.6817966232	18922.545501815253	24371.761200866356	21786.495988673705	21784.051061727005	16595.10272058208	22.929249926884005
79-2	30185.674828605668	20438.17567135264	27003.2023986839	25673.65364189077	26206.005844089923	23340.04081568532	24268.423255887745	18343.871844118992	24703.687955680234	24282.44462246039	22405.470497093065	24785.213927961187	25288.013322156883	26488.517532574057	21990.66879793375	23357.09139331764	23380.399822227475	22507.759978830192	18657.44452773308	18898.569171427636	24286.763413204673	21394.772824024545	21293.083618771012	16702.895587338116	23.763830485364103
80-1	30291.731693855858	20550.332529002902	26952.350359245167	25971.23618374645	26386.921474464692	23501.073531771908	24535.50181542028	18317.07024747879	24584.399769307816	24363.71351524849	22497.34503524635	24501.157681537505	25123.36234425361	26871.885203780876	21757.58010360634	23118.02111602595	23599.71919344452	22691.6920383521	18474.358829914778	19266.909097861808	24386.31315091785	21355.532845418285	21582.916070655916	16547.89635099095	20.43153632345934
117-2	30499.44364841409	21000.126236646047	27358.87800444874	25780.42892161241	26572.416478253806	23836.861159511154	24704.543080600135	18639.98743757512	24811.96070309579	24673.597394530374	22708.3787084638	24745.802757658916	25638.511681332315	26896.313684110504	22163.702195830363	23731.20559631481	23674.74682535062	22869.826447720767	18816.773544795375	19245.628482071672	24543.332678579325	21889.835670057804	21401.736936878377	16697.04081217362	16.53778868510976
131-1	29401.00667316395	19843.77962605901	27258.734859940312	23453.63783099213	27171.247801607547	24406.917249658727	25087.679491104005	17715.760969050294	25534.11489055786	22332.803865820584	23111.576836509787	24715.5180462428	25932.95745619566	26401.421542735236	20154.997270085205	23765.920303518433	23567.102463788655	22087.715799615842	18853.571545225655	19543.88076090642	21273.663797538386	22395.700554375715	20191.4496324963	16471.250022294345	24.08988916924495
134-1	31232.079657734856	20294.00134534771	27504.52549480705	26080.07666016794	26386.396781346008	23673.434693017236	24369.55883085037	18544.582803802557	24858.646431275993	24421.58965825659	22432.927311618107	24508.384877609784	25418.06551101403	26568.778371987068	22119.168307100503	23584.373328294467	23528.86273521401	23000.06377045099	18744.439494011367	19078.047514732294	24207.55899835064	21655.529885435953	21979.787185285062	16632.86127272235	23.183423134686173
134-2	31046.16092162398	20798.545114288536	27197.06025109734	26101.5969245859	26203.378994368275	23687.495434210563	24321.736290939905	18388.772000121142	24572.578397955534	24308.248966894156	22403.895451171655	24383.618288662758	25201.84397881174	26942.149921224096	22032.919237249072	23628.682940436367	23434.733818867615	22729.53347316557	18819.99404239932	18995.83736468468	24072.715155727696	21451.118835496316	22016.121730900588	16633.36732567555	23.023819103158964
