cram_file	line
22013_2#1	25_1
22013_2#2	30_1
22013_2#3	11_2
22013_2#4	13_2
22013_2#5	14_1
22013_3#1	23_1
22013_3#2	23_2
22013_3#3	31_2
22013_3#4	32_2
22013_3#5	33_1
22013_4#1	42_1
22013_4#2	43_2
22013_4#3	47_1
22013_4#4	49_2
22013_4#5	50_2
22013_5#1	51_2
22013_5#2	53_2
22013_5#3	55_2
22013_5#4	56_1
22013_5#5	58_2
22013_6#1	84_2
22013_6#2	94_1
22013_6#3	95_1
22013_6#4	117_1
22013_6#5	129_1
22013_7#1	70_2
22013_7#2	71_1
22013_7#3	72_1
22013_7#4	72_2
22013_7#5	75_1
22024_1#1	14_2
22024_1#2	17_1
22024_1#3	18_2
22024_1#4	21_2
22024_1#5	22_1
22024_2#1	38_2
22024_2#2	39_1
22024_2#3	39_2
22024_2#4	40_1
22024_2#5	40_2
22024_3#1	59_1
22024_3#2	59_2
22024_3#3	61_1
22024_3#4	62_2
22024_3#5	69_2
22024_4#1	Ho5_1
22024_4#2	Ho5_2
22024_4#3	iCab_F24
22024_4#4	iCab_2F2
22024_4#5	iCab_HD
22218_1#1	66_1
22218_1#2	91_1
22218_1#3	104_1
22218_1#4	106_1
22218_1#5	106_2
22218_2#1	141_3
22218_2#2	4_1
22218_2#3	131_2
22218_2#4	131_4
22218_2#5	133_2
22218_3#1	4_2
22218_3#2	5_1
22218_3#3	7_1
22218_3#4	7_2
22218_3#5	8_2
22218_4#1	11_1
22218_4#2	15_1
22218_4#3	15_2
22218_4#4	20_1
22218_4#5	10_1
22218_5#1	107_2
22218_5#2	49_1
22218_5#3	69_1
22218_5#4	79_2
22218_5#5	80_1
22218_6#1	110_2
22218_6#2	117_2
22218_6#3	123_2
22218_6#4	127_2
22218_6#5	131_1
22218_7#1	134_2
22218_7#2	134_3
22218_7#3	135_1
22218_7#4	132_5
22218_7#5	134_1
22218_8#1	140_3
22218_8#2	136_2
22218_8#3	137_4
22218_8#4	138_3
22218_8#5	139_4
22218_8#6	140_1
24259_1#1	84_2
24259_1#2	89_1
24259_1#3	121_2
24259_1#4	125_1
24259_1#5	132_4_1
24259_2#1	135_2
24259_2#2	138_1
24259_2#3	141_3
24259_2#4	141_4
24271_7#1	KW_5
24271_7#2	KW_6
24271_7#3	KW_7
24271_7#4	29_1
24271_7#5	32_2
24271_8#1	34_2
24271_8#2	60_1
24271_8#3	68_1
24271_8#4	71_1
24271_8#5	80_2
24300_8#1	iCab_F25
24300_8#2	KW_1
24300_8#3	KW_2
24300_8#4	KW_3
24300_8#5	KW_4
