scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM,p1,p2
14,1000001,2000000,1516640,20843,509,136,11,0.8503,0.3582,0.2541,melastigma,hdrr
14,2000001,3000000,2405642,19688,669,207,15,0.8649,0.4809,0.3445,melastigma,hdrr
14,3000001,4000000,3451541,28180,1220,397,27,0.8726,0.4759,0.3287,melastigma,hdrr
14,4000001,5000000,4485959,21676,2801,631.5,68,0.8056,0.3172,0.2396,melastigma,hdrr
14,5000001,6000000,5431730,30515,680,379,3,0.9843,0.6359,0.561,melastigma,hdrr
14,6000001,7000000,6487328,21316,2735,1013.5,44.5,0.9159,0.5424,0.4296,melastigma,hdrr
14,7000001,8000000,7476965,22226,1990,642,28,0.9164,0.5354,0.3652,melastigma,hdrr
14,8000001,9000000,8531337,21358,2357,544.5,76,0.755,0.3206,0.2464,melastigma,hdrr
14,9000001,10000000,9421353,21818,2618,434.5,65,0.7397,0.2101,0.1715,melastigma,hdrr
14,10000001,11000000,10619676,24875,1912,531.5,40.5,0.8584,0.3461,0.2852,melastigma,hdrr
14,11000001,12000000,11531170,23414,3688,956.5,82.5,0.8412,0.3712,0.2964,melastigma,hdrr
14,12000001,13000000,12466975,25405,2943,778,54.5,0.8691,0.3268,0.2856,melastigma,hdrr
14,13000001,14000000,13469811,21039,4791,2011.5,97,0.908,0.5977,0.4975,melastigma,hdrr
14,14000001,15000000,14507394,18941,3668,954.5,118.5,0.7791,0.3483,0.266,melastigma,hdrr
14,15000001,16000000,15514604,17663,2499,482,48,0.8189,0.2323,0.1984,melastigma,hdrr
14,16000001,17000000,16509352,13691,2224,535.5,53.5,0.8183,0.3072,0.2554,melastigma,hdrr
14,17000001,18000000,17504570,16354,3466,1319,60,0.913,0.5217,0.4317,melastigma,hdrr
14,18000001,19000000,18502823,16517,1950,738,47,0.8803,0.551,0.4319,melastigma,hdrr
14,19000001,20000000,19492041,17598,1119,477,11,0.9549,0.5521,0.4679,melastigma,hdrr
14,20000001,21000000,20591001,24139,1550,610.5,23,0.9274,0.5863,0.5082,melastigma,hdrr
14,21000001,22000000,21500558,36750,899,218,15,0.8712,0.3957,0.3458,melastigma,hdrr
14,22000001,23000000,22500431,39206,3747,584.5,121.5,0.6558,0.2549,0.1981,melastigma,hdrr
14,23000001,24000000,23515185,50572,1351,357.5,21.5,0.8865,0.4519,0.3701,melastigma,hdrr
14,24000001,25000000,24415670,42172,474,163.5,5.5,0.9349,0.5477,0.4576,melastigma,hdrr
14,25000001,26000000,25521796,36851,3903,786.5,80.5,0.8143,0.3356,0.2845,melastigma,hdrr
14,26000001,27000000,26424695,27097,663,173,16,0.8307,0.2913,0.2412,melastigma,hdrr
14,27000001,28000000,27471133,24713,1544,661,29,0.9159,0.6092,0.4393,melastigma,hdrr
14,28000001,29000000,28489527,19469,1016,244,27,0.8007,0.3593,0.2406,melastigma,hdrr
14,29000001,30000000,29554973,24376,287,47.5,6,0.7757,0.3007,0.1701,melastigma,hdrr
15,1,1000000,745750,11936,258,89.5,4,0.9144,0.4442,0.3555,melastigma,hdrr
15,1000001,2000000,1445544,31683,1558,487,46,0.8274,0.4117,0.3318,melastigma,hdrr
15,2000001,3000000,2491529,28014,1413,297,34.5,0.7919,0.2579,0.1994,melastigma,hdrr
15,3000001,4000000,3486614,28776,814,176.5,20.5,0.7919,0.2749,0.2278,melastigma,hdrr
15,4000001,5000000,4373433,7024,418,28.5,11.5,0.425,0.0468,0.0426,melastigma,hdrr
15,5000001,6000000,5514554,41270,4895,154,223,-0.183,-0.018,-0.0152,melastigma,hdrr
15,6000001,7000000,6494710,44794,5064,112,239.5,-0.3627,-0.0322,-0.0273,melastigma,hdrr
15,7000001,8000000,7509430,47207,2532,199,53,0.5794,0.0733,0.0659,melastigma,hdrr
15,8000001,9000000,8499934,40570,3074,101.5,82.5,0.1033,0.0076,0.0067,melastigma,hdrr
15,9000001,10000000,9504673,42396,2768,193.5,128,0.2037,0.029,0.0246,melastigma,hdrr
15,11000001,12000000,11503772,38867,3450,196,118,0.2484,0.0294,0.0248,melastigma,hdrr
15,12000001,13000000,12497642,40028,6964,376,216,0.2703,0.0282,0.0249,melastigma,hdrr
15,13000001,14000000,13518141,42581,7118,318.5,259,0.103,0.0109,0.0092,melastigma,hdrr
15,14000001,15000000,14449897,37167,4393,249.5,137.5,0.2894,0.0325,0.0278,melastigma,hdrr
15,15000001,16000000,15507876,38055,4367,305.5,140,0.3715,0.0472,0.0411,melastigma,hdrr
15,16000001,17000000,16512910,33755,3057,115.5,148,-0.1233,-0.0135,-0.0111,melastigma,hdrr
15,17000001,18000000,17905505,2633,355,13,19,-0.1875,-0.022,-0.0178,melastigma,hdrr
15,18000001,19000000,18516768,28298,7870,1179,135.5,0.7938,0.1614,0.1363,melastigma,hdrr
15,19000001,20000000,19519120,18845,2117,478.5,37,0.8565,0.2995,0.249,melastigma,hdrr
15,20000001,21000000,20492780,19958,3031,496,64,0.7714,0.2229,0.173,melastigma,hdrr
15,21000001,22000000,21466262,19885,3533,683.5,85,0.7788,0.2623,0.2018,melastigma,hdrr
15,22000001,23000000,22495311,19420,3670,571,116,0.6623,0.1821,0.1418,melastigma,hdrr
15,23000001,24000000,23524187,23272,5388,1031.5,199,0.6766,0.2294,0.1741,melastigma,hdrr
15,24000001,25000000,24486839,22564,2073,501.5,45,0.8353,0.3024,0.2582,melastigma,hdrr
15,25000001,26000000,25494772,23191,4027,1011.5,64.5,0.8801,0.3,0.2672,melastigma,hdrr
15,26000001,27000000,26513480,27431,6543,1927,191,0.8196,0.3773,0.3219,melastigma,hdrr
15,27000001,28000000,27494009,23978,3661,837.5,82.5,0.8207,0.3009,0.2655,melastigma,hdrr
15,28000001,29000000,28514651,23002,4195,967,78,0.8507,0.2973,0.2606,melastigma,hdrr
15,29000001,30000000,29506764,14362,1490,308,37,0.7855,0.283,0.2281,melastigma,hdrr
6,1,1000000,475565,17366,892,280,25,0.8361,0.4476,0.3613,melastigma,hdrr
6,2000001,3000000,2511811,22649,987,471,19,0.9224,0.7206,0.5066,melastigma,hdrr
6,4000001,5000000,4492335,29780,1321,663,12,0.9644,0.6636,0.5367,melastigma,hdrr
6,5000001,6000000,5491687,28678,1661,764,22,0.944,0.6201,0.4978,melastigma,hdrr
6,6000001,7000000,6509090,25856,519,170,15,0.8378,0.4613,0.3588,melastigma,hdrr
6,8000001,9000000,8561360,27749,2910,590,73.5,0.7784,0.238,0.1961,melastigma,hdrr
6,9000001,10000000,9408566,23944,1517,251,46.5,0.6874,0.2068,0.1713,melastigma,hdrr
