scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM,p1,p2
17,1,1000000,529678,37883,972,516,16,0.9398,0.7042,0.5924,melastigma,hdrr
17,1000001,2000000,1500752,45574,4704,1869.5,173.5,0.8302,0.5851,0.4426,melastigma,hdrr
17,2000001,3000000,2468069,47575,5760,3126.5,89.5,0.9443,0.6457,0.572,melastigma,hdrr
17,3000001,4000000,3485672,45976,3853,1506.5,90,0.8873,0.5265,0.4023,melastigma,hdrr
17,4000001,5000000,4495806,41290,6240,2436,162,0.8753,0.5543,0.422,melastigma,hdrr
17,5000001,6000000,5494061,42012,1552,515,40,0.8559,0.5042,0.3558,melastigma,hdrr
17,6000001,7000000,6508495,39291,283,230,0,1,0.9127,0.8214,melastigma,hdrr
17,7000001,8000000,7493928,41227,1370,956,6,0.9875,0.849,0.7263,melastigma,hdrr
17,8000001,9000000,8411656,32689,925,547,1,0.9964,0.8285,0.6254,melastigma,hdrr
17,9000001,10000000,9488972,51255,1007,491,17.5,0.9312,0.721,0.5525,melastigma,hdrr
17,10000001,11000000,10351752,16354,1291,723,9,0.9754,0.6335,0.5609,melastigma,hdrr
17,12000001,13000000,12491831,49729,2660,1561,57,0.9295,0.7553,0.646,melastigma,hdrr
17,13000001,14000000,13500553,42080,3938,2570,33,0.9746,0.7655,0.6801,melastigma,hdrr
17,14000001,15000000,14497746,40217,4136,1667,114.5,0.8715,0.5549,0.4268,melastigma,hdrr
17,15000001,16000000,15507088,41426,5757,2506.5,115,0.9123,0.5785,0.4773,melastigma,hdrr
17,16000001,17000000,16509389,46570,9882,4073.5,302.5,0.8617,0.5461,0.4549,melastigma,hdrr
17,17000001,18000000,17493632,42232,8449,3983.5,160,0.9228,0.6266,0.4997,melastigma,hdrr
17,18000001,19000000,18490695,42924,7300,3932,150,0.9265,0.7384,0.595,melastigma,hdrr
17,19000001,20000000,19484317,41981,10746,4328,322,0.8615,0.5807,0.4481,melastigma,hdrr
17,20000001,21000000,20572768,28710,5501,2844.5,124.5,0.9161,0.6529,0.5512,melastigma,hdrr
17,21000001,22000000,21497509,38241,979,508,14,0.9464,0.6261,0.5417,melastigma,hdrr
17,22000001,23000000,22435099,30365,3128,1835.5,38,0.9594,0.7323,0.6169,melastigma,hdrr
17,23000001,24000000,23496673,37415,4911,2692,63.5,0.9539,0.7223,0.6012,melastigma,hdrr
17,24000001,25000000,24500256,36261,4119,1830.5,69.5,0.9268,0.6468,0.4782,melastigma,hdrr
17,25000001,26000000,25488350,24039,4146,2006,72.5,0.9302,0.6652,0.5295,melastigma,hdrr
17,26000001,27000000,26339588,23851,3268,1941.5,45,0.9547,0.7977,0.6535,melastigma,hdrr
17,27000001,28000000,27550692,36148,6907,2734.5,119.5,0.9163,0.5204,0.4157,melastigma,hdrr
17,28000001,29000000,28503734,45139,5872,2861,40,0.9724,0.8306,0.5247,melastigma,hdrr
17,29000001,30000000,29523359,42262,2807,1531,45,0.9429,0.7086,0.572,melastigma,hdrr
17,30000001,31000000,30471203,36964,3848,1528,77,0.904,0.584,0.3991,melastigma,hdrr
17,31000001,32000000,31373232,27157,618,273,9,0.9362,0.6543,0.4579,melastigma,hdrr
1,1,1000000,773442,17383,1035,453,10.5,0.9547,0.6436,0.4387,melastigma,hdrr
1,1000001,2000000,1499533,46163,3925,1230.5,94,0.8581,0.4981,0.3315,melastigma,hdrr
1,2000001,3000000,2496202,36377,3254,1128,87,0.8568,0.5698,0.3745,melastigma,hdrr
1,3000001,4000000,3470644,48098,5160,1901.5,141.5,0.8615,0.5059,0.3926,melastigma,hdrr
1,4000001,5000000,4409263,38457,2943,1200,74,0.8838,0.5194,0.4102,melastigma,hdrr
1,5000001,6000000,5525740,37728,3909,1581.5,98.5,0.8827,0.5184,0.4327,melastigma,hdrr
1,6000001,7000000,6488971,38971,5682,3459.5,93,0.9476,0.7862,0.6762,melastigma,hdrr
1,7000001,8000000,7388966,33108,6447,3087.5,122.5,0.9237,0.6511,0.5389,melastigma,hdrr
1,8000001,9000000,8515629,41431,6648,3088,113,0.9294,0.6004,0.503,melastigma,hdrr
1,9000001,10000000,9501342,38236,8576,4602.5,143.5,0.9395,0.6455,0.569,melastigma,hdrr
1,10000001,11000000,10519162,38981,7646,3905,125,0.938,0.6434,0.5586,melastigma,hdrr
1,11000001,12000000,11509321,42723,6906,3313,104.5,0.9388,0.673,0.5521,melastigma,hdrr
1,12000001,13000000,12453322,39989,9176,4198,242.5,0.8908,0.6217,0.5154,melastigma,hdrr
1,13000001,14000000,13522148,36385,2354,1293.5,42.5,0.9364,0.698,0.6043,melastigma,hdrr
1,14000001,15000000,14493604,43202,7512,3855.5,90.5,0.9541,0.6738,0.5795,melastigma,hdrr
1,15000001,16000000,15588332,36384,5871,3151.5,82.5,0.949,0.7043,0.6006,melastigma,hdrr
1,16000001,17000000,16472738,29811,3418,1140,85.5,0.8605,0.58,0.4055,melastigma,hdrr
1,17000001,18000000,17450995,34336,3276,1452,84,0.8906,0.614,0.5115,melastigma,hdrr
1,18000001,19000000,18486467,42249,7855,4220.5,115,0.9469,0.7276,0.6104,melastigma,hdrr
1,19000001,20000000,19497056,39743,1605,1191,4.5,0.9925,0.9038,0.7918,melastigma,hdrr
1,20000001,21000000,20498107,44470,8775,4875.5,148,0.9411,0.7611,0.6342,melastigma,hdrr
1,21000001,22000000,21509063,42093,8633,5036.5,69,0.973,0.7626,0.647,melastigma,hdrr
1,22000001,23000000,22503657,45152,7808,3638,129,0.9315,0.673,0.5159,melastigma,hdrr
1,23000001,24000000,23491312,45406,4320,1802.5,72,0.9232,0.6387,0.4621,melastigma,hdrr
1,24000001,25000000,24479211,45822,6085,2669,115.5,0.917,0.6557,0.4971,melastigma,hdrr
1,25000001,26000000,25300475,19504,330,119,22.5,0.682,0.5619,0.4168,melastigma,hdrr
1,26000001,27000000,26487367,46862,792,545.5,8,0.9711,0.8156,0.7404,melastigma,hdrr
1,27000001,28000000,27525225,25007,1083,711.5,3,0.9916,0.7641,0.6958,melastigma,hdrr
1,28000001,29000000,28481061,46066,302,155.5,8,0.9021,0.7984,0.6178,melastigma,hdrr
1,29000001,30000000,29492839,43061,952,633,3,0.9906,0.8493,0.7311,melastigma,hdrr
1,30000001,31000000,30473162,44134,6834,4049,95.5,0.9539,0.739,0.639,melastigma,hdrr
1,31000001,32000000,31487731,40515,4882,2741.5,83.5,0.9409,0.6861,0.5882,melastigma,hdrr
1,32000001,33000000,32501514,51826,1019,439,13,0.9425,0.5941,0.4537,melastigma,hdrr
1,33000001,34000000,33500204,43659,4942,2102.5,123,0.8895,0.559,0.4715,melastigma,hdrr
1,34000001,35000000,34513159,45709,1719,831,43,0.9016,0.6681,0.5294,melastigma,hdrr
1,35000001,36000000,35500214,42687,2597,1352.5,32,0.9538,0.6612,0.561,melastigma,hdrr
1,36000001,37000000,36482516,42756,1166,509,21.5,0.9189,0.6206,0.468,melastigma,hdrr
1,37000001,38000000,37327707,11688,672,279,23.5,0.8446,0.5853,0.4438,melastigma,hdrr
24,1,1000000,592909,27348,2058,1163.5,24,0.9596,0.816,0.6158,melastigma,hdrr
24,1000001,2000000,1511833,40416,3808,1785,131.5,0.8628,0.7278,0.5496,melastigma,hdrr
24,2000001,3000000,2500573,40779,3957,1929.5,72,0.9281,0.7401,0.5658,melastigma,hdrr
24,3000001,4000000,3491787,38530,4766,2302,80,0.9328,0.6518,0.5167,melastigma,hdrr
24,4000001,5000000,4501848,39965,6762,2686.5,182,0.8731,0.5637,0.4482,melastigma,hdrr
24,5000001,6000000,5442925,36277,2306,1143.5,43,0.9275,0.6814,0.555,melastigma,hdrr
24,6000001,7000000,6491967,28232,4037,2343,44,0.9631,0.7425,0.6299,melastigma,hdrr
24,7000001,8000000,7510853,35444,3573,1381.5,77.5,0.8938,0.5375,0.4244,melastigma,hdrr
24,8000001,9000000,8494851,38283,6739,3358.5,98.5,0.943,0.6699,0.5524,melastigma,hdrr
24,9000001,10000000,9531085,44497,2312,997,33.5,0.935,0.5644,0.493,melastigma,hdrr
24,10000001,11000000,10397210,30512,3478,1143,98,0.8421,0.5303,0.3789,melastigma,hdrr
24,11000001,12000000,11434945,29535,5219,2209.5,124,0.8937,0.5969,0.4847,melastigma,hdrr
24,12000001,13000000,12500822,41238,9128,4273.5,272,0.8803,0.6937,0.5629,melastigma,hdrr
24,13000001,14000000,13487951,37519,2819,1529.5,71.5,0.9107,0.7916,0.6361,melastigma,hdrr
24,14000001,15000000,14502114,36675,9365,5386,144,0.9479,0.7777,0.6387,melastigma,hdrr
24,15000001,16000000,15495131,55092,3196,1256.5,52.5,0.9198,0.4996,0.4257,melastigma,hdrr
24,16000001,17000000,16512556,39178,3901,2216,46,0.9593,0.6517,0.5781,melastigma,hdrr
24,17000001,18000000,17471405,33764,2735,1584,52,0.9364,0.6657,0.5875,melastigma,hdrr
24,18000001,19000000,18495860,46203,2534,1242,35,0.9452,0.617,0.5149,melastigma,hdrr
24,19000001,20000000,19491598,45628,3420,1115.5,104.5,0.8287,0.4785,0.3425,melastigma,hdrr
24,20000001,21000000,20507962,43436,2848,1400,47,0.935,0.6108,0.5132,melastigma,hdrr
24,21000001,22000000,21499851,45235,2946,1643,54,0.9364,0.7158,0.6004,melastigma,hdrr
24,22000001,23000000,22420813,38898,1617,917,27,0.9428,0.704,0.582,melastigma,hdrr
14,1,1000000,606355,20792,262,148,5,0.9346,0.7719,0.6434,melastigma,hdrr
14,1000001,2000000,1499901,37024,1485,955,12,0.9752,0.8093,0.6534,melastigma,hdrr
14,2000001,3000000,2408993,33686,1609,910,42,0.9118,0.7719,0.622,melastigma,hdrr
14,3000001,4000000,3505443,42798,2836,1537,42,0.9468,0.7647,0.5702,melastigma,hdrr
14,4000001,5000000,4489152,40443,6905,3031,188,0.8832,0.6453,0.494,melastigma,hdrr
14,5000001,6000000,5485951,45683,1587,1214,7,0.9885,0.8646,0.7767,melastigma,hdrr
14,6000001,7000000,6491498,40740,6504,3718.5,116,0.9395,0.7647,0.6235,melastigma,hdrr
14,7000001,8000000,7480999,40932,4827,2752,41,0.9706,0.812,0.6049,melastigma,hdrr
14,8000001,9000000,8500562,37783,3903,1417,107,0.8596,0.5033,0.3759,melastigma,hdrr
14,9000001,10000000,9474948,40466,6266,3041,136.5,0.9141,0.6257,0.5172,melastigma,hdrr
14,10000001,11000000,10574987,38875,3455,1809,44,0.9525,0.6428,0.5329,melastigma,hdrr
14,11000001,12000000,11519853,41898,7207,3342,167,0.9048,0.6363,0.514,melastigma,hdrr
14,12000001,13000000,12489233,44083,6264,3433.5,111,0.9374,0.6586,0.5807,melastigma,hdrr
14,13000001,14000000,13493005,38307,9933,5693,235.5,0.9206,0.7531,0.6329,melastigma,hdrr
14,14000001,15000000,14492589,36480,8028,4658,164.5,0.9318,0.7119,0.5954,melastigma,hdrr
14,15000001,16000000,15502048,34714,5579,2952,76,0.9498,0.6464,0.5541,melastigma,hdrr
14,16000001,17000000,16496903,30005,5063,2760,95,0.9335,0.6747,0.5803,melastigma,hdrr
14,17000001,18000000,17520626,35520,9225,5398,237,0.9159,0.7691,0.6523,melastigma,hdrr
14,18000001,19000000,18506193,33054,4885,2643,132,0.9049,0.7653,0.6145,melastigma,hdrr
14,19000001,20000000,19493872,38279,3916,2745,61,0.9565,0.8559,0.7613,melastigma,hdrr
14,20000001,21000000,20501068,34324,2570,1786,47,0.9487,0.8773,0.754,melastigma,hdrr
14,21000001,22000000,21502135,38621,690,442,10,0.9558,0.8143,0.6809,melastigma,hdrr
14,22000001,23000000,22499162,41430,2984,1163.5,91.5,0.8542,0.5432,0.4017,melastigma,hdrr
14,23000001,24000000,23516173,53212,1141,653,13,0.961,0.8258,0.6504,melastigma,hdrr
14,24000001,25000000,24457955,49601,390,291,1,0.9932,0.9416,0.7532,melastigma,hdrr
14,25000001,26000000,25500300,40375,2973,1608.5,28,0.9658,0.749,0.6043,melastigma,hdrr
14,26000001,27000000,26500541,42024,1898,1132,18,0.9687,0.7545,0.6346,melastigma,hdrr
14,27000001,28000000,27493979,43106,2723,1377.5,40,0.9436,0.7533,0.5543,melastigma,hdrr
14,28000001,29000000,28493611,40566,1974,745.5,42.5,0.8921,0.6403,0.4286,melastigma,hdrr
14,29000001,30000000,29512523,41428,749,275.5,15.5,0.8935,0.6628,0.4377,melastigma,hdrr
16,1,1000000,547513,40438,860,421.5,25,0.888,0.6458,0.5592,melastigma,hdrr
16,1000001,2000000,1480681,38994,3257,1737,50.5,0.9435,0.6667,0.5618,melastigma,hdrr
16,2000001,3000000,2507478,42514,6897,3797,134,0.9318,0.6728,0.5895,melastigma,hdrr
16,3000001,4000000,3510313,44380,2665,1372,36.5,0.9482,0.6473,0.5517,melastigma,hdrr
16,4000001,5000000,4502958,40134,4646,2169,102,0.9102,0.6093,0.5072,melastigma,hdrr
16,5000001,6000000,5531525,35977,1835,938,36,0.9261,0.6465,0.5404,melastigma,hdrr
16,6000001,7000000,6485553,36485,1023,636,13,0.9599,0.7768,0.6558,melastigma,hdrr
16,7000001,8000000,7474861,28019,865,364,28,0.8571,0.6843,0.48,melastigma,hdrr
16,8000001,9000000,8507461,44446,1267,675,11,0.9679,0.8329,0.5854,melastigma,hdrr
16,9000001,10000000,9665739,20300,813,445,15,0.9348,0.7003,0.54990000000000006,melastigma,hdrr
16,10000001,11000000,10485977,39138,3445,1556,79.5,0.9028,0.6186,0.4846,melastigma,hdrr
16,11000001,12000000,11510519,40173,5870,2692,159,0.8885,0.6062,0.4979,melastigma,hdrr
16,12000001,13000000,12500640,38652,7957,3433,269,0.8547,0.5825,0.4672,melastigma,hdrr
16,13000001,14000000,13506574,36139,2467,1331,46,0.9332,0.6824,0.5971,melastigma,hdrr
16,14000001,15000000,14444118,33332,4718,2215.5,76.5,0.9332,0.6084,0.4932,melastigma,hdrr
16,15000001,16000000,15593596,31729,8240,3249.5,226.5,0.8697,0.5155,0.4135,melastigma,hdrr
16,16000001,17000000,16510438,39284,5974,2627,131,0.905,0.5732,0.4363,melastigma,hdrr
16,17000001,18000000,17451862,37876,8111,4819.5,102.5,0.9584,0.7145,0.6169,melastigma,hdrr
16,18000001,19000000,18496034,34065,4922,2705,77,0.9446,0.7056,0.5822,melastigma,hdrr
16,19000001,20000000,19493239,33159,7313,4467.5,56,0.9752,0.7719,0.6364,melastigma,hdrr
16,20000001,21000000,20501593,36591,4853,2349,69,0.9429,0.5982,0.5202,melastigma,hdrr
16,21000001,22000000,21538013,47566,4373,2035,70,0.9335,0.562,0.4889,melastigma,hdrr
16,22000001,23000000,22468835,34658,6575,3270,90.5,0.9461,0.6498,0.5273,melastigma,hdrr
16,23000001,24000000,23475792,38916,8122,4170,158.5,0.9268,0.6404,0.5237,melastigma,hdrr
16,24000001,25000000,24501430,42802,5771,2802,91.5,0.9368,0.6305,0.5141,melastigma,hdrr
16,25000001,26000000,25374129,39355,6844,2740,206,0.8601,0.6451,0.4553,melastigma,hdrr
16,26000001,27000000,26546963,38175,5877,3095.5,76,0.9521,0.667,0.5482,melastigma,hdrr
16,27000001,28000000,27485711,39950,5019,1744,155,0.8368,0.4672,0.3674,melastigma,hdrr
16,28000001,29000000,28472060,54644,9175,2801.5,295.5,0.8092,0.4472,0.2922,melastigma,hdrr
16,29000001,30000000,29500630,46596,9179,4525,170,0.9276,0.6975,0.5152,melastigma,hdrr
16,30000001,31000000,30500415,44483,7485,3794,103.5,0.9469,0.7171,0.5278,melastigma,hdrr
16,31000001,32000000,31476377,41468,4231,1718,107,0.8827,0.5858,0.4204,melastigma,hdrr
16,32000001,33000000,32390602,27278,724,449,8,0.965,0.8103,0.657,melastigma,hdrr
19,1,1000000,415332,39489,2220,1126,31,0.9464,0.7061,0.5325,melastigma,hdrr
19,1000001,2000000,1624380,28490,2011,764,62,0.8499,0.5917,0.3862,melastigma,hdrr
