scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM,p1,p2
8,1,1000000,492851,16059,1218,585,32,0.8963,0.622,0.4911,melastigma,hdrr
8,1000001,2000000,1498950,39253,4589,1714,125,0.8641,0.5622,0.4115,melastigma,hdrr
8,2000001,3000000,2462805,31681,3351,1196.5,83,0.8703,0.513,0.3789,melastigma,hdrr
8,3000001,4000000,3499819,42312,3279,1563.5,52,0.9356,0.6071,0.4991,melastigma,hdrr
8,4000001,5000000,4528430,42265,2912,1502,46,0.9406,0.5962,0.5337,melastigma,hdrr
8,5000001,6000000,5488924,36611,7288,2730.5,227.5,0.8462,0.4921,0.3907,melastigma,hdrr
8,6000001,7000000,6493273,38429,4994,1844.5,156,0.844,0.5229,0.3854,melastigma,hdrr
8,7000001,8000000,7510053,37774,8553,4108.5,159,0.9255,0.6153,0.5194,melastigma,hdrr
8,8000001,9000000,8488075,35646,5996,2670,157,0.8889,0.5515,0.46,melastigma,hdrr
8,9000001,10000000,9506695,33528,8122,3584,154,0.9176,0.5718,0.4613,melastigma,hdrr
8,10000001,11000000,10507878,37306,6011,2486,122.5,0.9061,0.54,0.4466,melastigma,hdrr
8,11000001,12000000,11545044,35385,1584,916,24,0.9489,0.748,0.6175,melastigma,hdrr
8,12000001,13000000,12518037,39191,6017,3025,78,0.9497,0.6467,0.5725,melastigma,hdrr
8,13000001,14000000,13513706,42294,6826,2664.5,184,0.8708,0.5474,0.4332,melastigma,hdrr
8,14000001,15000000,14339317,28503,7172,2547.5,171,0.8742,0.5082,0.3927,melastigma,hdrr
8,15000001,16000000,15597374,36018,3676,1770.5,62,0.9323,0.6483,0.5378,melastigma,hdrr
8,16000001,17000000,16486113,44044,3464,2082,53.5,0.9499,0.7648,0.6654,melastigma,hdrr
8,18000001,19000000,18500296,43644,5776,3113.5,82,0.9487,0.7113,0.5963,melastigma,hdrr
8,19000001,20000000,19519165,45103,3249,1663.5,66.5,0.9231,0.6637,0.5711,melastigma,hdrr
8,20000001,21000000,20491352,38427,1946,708,62.5,0.8378,0.5406,0.4297,melastigma,hdrr
8,22000001,23000000,22491628,46422,1014,510.5,22.5,0.9156,0.6832,0.5841,melastigma,hdrr
8,23000001,24000000,23497004,48428,2853,1444.5,55,0.9266,0.7239,0.5572,melastigma,hdrr
8,24000001,25000000,24503948,45780,3918,1839.5,58.5,0.9384,0.6465,0.5021,melastigma,hdrr
8,25000001,26000000,25489376,40475,995,332,28,0.8444,0.5241,0.3531,melastigma,hdrr
9,1,1000000,491183,31230,1539,1021,9,0.9825,0.8365,0.6904,melastigma,hdrr
9,1000001,2000000,1493924,44998,2117,1007.5,23,0.9554,0.7272,0.4915,melastigma,hdrr
9,2000001,3000000,2492863,41461,5154,2262,119,0.9,0.6239,0.4625,melastigma,hdrr
9,3000001,4000000,3514600,45990,7945,3507,171,0.907,0.7029,0.4885,melastigma,hdrr
9,4000001,5000000,4441867,31755,6074,2691.5,114,0.9187,0.6208,0.4797,melastigma,hdrr
9,5000001,6000000,5490963,40323,3002,1387,59,0.9184,0.6555,0.4861,melastigma,hdrr
9,6000001,7000000,6497680,35668,4109,2005,76,0.927,0.6779,0.5161,melastigma,hdrr
9,7000001,8000000,7512444,34813,10451,5666,182,0.9378,0.6622,0.58,melastigma,hdrr
9,8000001,9000000,8521287,37955,6464,4071.5,66.5,0.9679,0.7783,0.6579,melastigma,hdrr
9,9000001,10000000,9525815,35057,6727,3670.5,125.5,0.9339,0.7323,0.6263,melastigma,hdrr
9,10000001,11000000,10504797,36477,5213,3002,78,0.9494,0.7575,0.6339,melastigma,hdrr
9,11000001,12000000,11506717,39397,8192,5429,105,0.9621,0.8152,0.6981,melastigma,hdrr
9,12000001,13000000,12513245,35902,3481,2192.5,53,0.9528,0.8229,0.6717,melastigma,hdrr
9,13000001,14000000,13518003,33116,8708,4524,169,0.928,0.7315,0.5645,melastigma,hdrr
9,14000001,15000000,14483230,40341,7148,4578.5,71.5,0.9692,0.8064,0.676,melastigma,hdrr
9,15000001,16000000,15493346,36909,7458,4576,69,0.9703,0.771,0.6578,melastigma,hdrr
9,16000001,17000000,16497770,37134,6346,3951,77,0.9618,0.7858,0.6662,melastigma,hdrr
9,17000001,18000000,17497236,35974,9557,4401.5,223,0.9036,0.581,0.4945,melastigma,hdrr
9,18000001,19000000,18467309,32030,5324,2723.5,89,0.9367,0.6651,0.5405,melastigma,hdrr
9,19000001,20000000,19525586,37212,8597,4889.5,90,0.9639,0.7906,0.6067,melastigma,hdrr
9,20000001,21000000,20514044,39642,4661,2732,136,0.9052,0.7434,0.6475,melastigma,hdrr
9,21000001,22000000,21524747,44747,797,559,10,0.9649,0.834,0.7337,melastigma,hdrr
9,22000001,23000000,22484003,43529,3274,1665,83,0.905,0.7389,0.6146,melastigma,hdrr
9,23000001,24000000,23520408,41979,9453,4639,232.5,0.9045,0.6503,0.5358,melastigma,hdrr
9,24000001,25000000,24502225,46146,3044,1502,32,0.9583,0.6512,0.5212,melastigma,hdrr
9,25000001,26000000,25532549,34009,2613,1178.5,58,0.9062,0.56,0.4646,melastigma,hdrr
9,26000001,27000000,26497561,41857,3787,1856,116.5,0.8819,0.6239,0.5253,melastigma,hdrr
9,27000001,28000000,27491384,40916,4769,3197,92,0.9441,0.8017,0.7044,melastigma,hdrr
9,28000001,29000000,28411460,38161,3426,1253.5,86.5,0.8709,0.4496,0.3734,melastigma,hdrr
9,29000001,30000000,29578181,47929,4586,1650,121.5,0.8628,0.4647,0.3905,melastigma,hdrr
9,30000001,31000000,30334062,27858,4268,1376.5,118,0.8421,0.4321,0.3411,melastigma,hdrr
9,31000001,32000000,31481711,43168,350,161,6,0.9281,0.6078,0.5308,melastigma,hdrr
9,32000001,33000000,32487602,33707,2669,1295.5,65,0.9044,0.6456,0.5111,melastigma,hdrr
11,1,1000000,530880,38455,1299,618,15,0.9526,0.7239,0.4959,melastigma,hdrr
11,1000001,2000000,1443245,26251,1180,540,19,0.932,0.5799,0.4654,melastigma,hdrr
11,2000001,3000000,2518393,33476,7255,2828,177,0.8822,0.5412,0.4248,melastigma,hdrr
11,3000001,4000000,3359739,27258,5231,1723,125.5,0.8642,0.49,0.3704,melastigma,hdrr
11,4000001,5000000,4484864,42900,8746,3842,212.5,0.8952,0.6079,0.4778,melastigma,hdrr
11,5000001,6000000,5500060,46801,4042,1617.5,66,0.9216,0.5591,0.4047,melastigma,hdrr
11,6000001,7000000,6372386,31633,4143,2010,64.5,0.9378,0.6542,0.4913,melastigma,hdrr
11,7000001,8000000,7564090,32694,3482,2084,63,0.9413,0.7701,0.663,melastigma,hdrr
11,8000001,9000000,8488408,42036,4946,2268,171,0.8598,0.6976,0.5373,melastigma,hdrr
11,9000001,10000000,9499795,39352,5911,2434.5,204.5,0.845,0.6692,0.4649,melastigma,hdrr
11,10000001,11000000,10500127,32875,3740,2346.5,35,0.9706,0.8283,0.6386,melastigma,hdrr
11,11000001,12000000,11507093,39684,7927,4536.5,172,0.9269,0.7755,0.6268,melastigma,hdrr
11,12000001,13000000,12467711,36543,6051,2802.5,209,0.8612,0.6347,0.5188,melastigma,hdrr
11,13000001,14000000,13512704,43259,4133,2849.5,31,0.9785,0.8684,0.7226,melastigma,hdrr
11,14000001,15000000,14503140,40856,4588,2661.5,78.5,0.9427,0.7468,0.632,melastigma,hdrr
11,15000001,16000000,15472849,40157,6109,2377,114.5,0.9081,0.6021,0.4518,melastigma,hdrr
11,16000001,17000000,16518786,37479,5651,2745.5,88.5,0.9375,0.6405,0.5516,melastigma,hdrr
11,17000001,18000000,17486065,39743,7385,3801.5,84,0.9568,0.6574,0.5572,melastigma,hdrr
11,18000001,19000000,18508654,41846,6526,3394,108,0.9383,0.7717,0.5986,melastigma,hdrr
11,19000001,20000000,19519851,41451,6135,2845,107.5,0.9272,0.6779,0.5174,melastigma,hdrr
11,20000001,21000000,20479822,43458,6319,2973.5,128.5,0.9172,0.6468,0.5106,melastigma,hdrr
11,21000001,22000000,21501390,37994,8331,5502,106,0.9622,0.793,0.6979,melastigma,hdrr
11,22000001,23000000,22507106,38638,5821,3086.5,107,0.933,0.7074,0.5676,melastigma,hdrr
11,23000001,24000000,23508821,39542,11175,5751.5,152,0.9485,0.7022,0.556,melastigma,hdrr
11,24000001,25000000,24447527,29207,1899,1128,27,0.9532,0.7741,0.6276,melastigma,hdrr
11,25000001,26000000,25500612,41612,1293,806,22,0.9469,0.7937,0.6651,melastigma,hdrr
11,26000001,27000000,26450911,38454,2103,1179,14.5,0.9757,0.7961,0.5728,melastigma,hdrr
11,28000001,29000000,28141302,4357,273,214,0,1,0.9136,0.786,melastigma,hdrr
6,1,1000000,500530,26996,2356,1211,50,0.9207,0.7332,0.5986,melastigma,hdrr
6,2000001,3000000,2519203,37276,2548,1716.5,40,0.9545,0.8753,0.7121,melastigma,hdrr
6,4000001,5000000,4496339,46113,2624,1608.5,34.5,0.958,0.796,0.6526,melastigma,hdrr
6,5000001,6000000,5500346,43671,3157,1759,54,0.9404,0.7537,0.6052,melastigma,hdrr
6,6000001,7000000,6501343,44374,1157,593,40,0.8736,0.6965,0.5609,melastigma,hdrr
6,7000001,8000000,7492245,43085,625,223,22,0.8204,0.5552,0.4012,melastigma,hdrr
6,8000001,9000000,8524866,46118,6600,3114.5,125,0.9228,0.6208,0.5065,melastigma,hdrr
6,9000001,10000000,9448556,39742,3751,1572,157,0.8184,0.5652,0.4699,melastigma,hdrr
6,10000001,11000000,10490936,43213,3831,1456,120.5,0.8471,0.5641,0.4465,melastigma,hdrr
6,11000001,12000000,11502556,39234,2428,1130,84,0.8616,0.63,0.5274,melastigma,hdrr
6,12000001,13000000,12478494,38245,2411,1265,118,0.8294,0.7128,0.5875,melastigma,hdrr
6,13000001,14000000,13497923,34734,3826,2340.5,52,0.9565,0.7991,0.6714,melastigma,hdrr
6,14000001,15000000,14504846,36529,7374,4066.5,183,0.9139,0.7526,0.6134,melastigma,hdrr
6,15000001,16000000,15511570,31355,5017,2630.5,75,0.9446,0.7401,0.5623,melastigma,hdrr
6,16000001,17000000,16500467,35960,5948,3413.5,62.5,0.964,0.7046,0.6018,melastigma,hdrr
6,17000001,18000000,17504887,33538,7620,3395,160,0.91,0.5879,0.469,melastigma,hdrr
6,18000001,19000000,18506718,33750,7776,3845.5,174.5,0.9132,0.6249,0.5155,melastigma,hdrr
6,19000001,20000000,19490723,33908,7256,3395.5,120,0.9317,0.6304,0.5078,melastigma,hdrr
6,20000001,21000000,20490436,37317,3893,2265.5,48,0.9585,0.6867,0.6073,melastigma,hdrr
6,21000001,22000000,21505690,35359,7170,3853.5,85.5,0.9566,0.6796,0.5673,melastigma,hdrr
6,22000001,23000000,22511005,41067,6675,3153.5,99.5,0.9388,0.6043,0.4789,melastigma,hdrr
6,23000001,24000000,23492664,40269,9965,5047,180,0.9311,0.7571,0.5707,melastigma,hdrr
6,24000001,25000000,24456241,38965,8304,5902,30,0.9899,0.8953,0.7384,melastigma,hdrr
6,25000001,26000000,25506492,41253,8348,4653,201.5,0.917,0.7571,0.6345,melastigma,hdrr
6,26000001,27000000,26488196,41677,5272,3489,94,0.9475,0.8306,0.7127,melastigma,hdrr
6,27000001,28000000,27509946,47204,2001,481.5,86,0.6969,0.29,0.2078,melastigma,hdrr
6,28000001,29000000,28502749,43638,8677,2659,254,0.8256,0.462,0.3102,melastigma,hdrr
6,29000001,30000000,29493049,43871,2171,963,59.5,0.8836,0.5947,0.4912,melastigma,hdrr
6,30000001,31000000,30478036,42314,7416,2989.5,159,0.899,0.5692,0.4396,melastigma,hdrr
6,31000001,32000000,31531037,28603,1710,788,34,0.9173,0.6126,0.4719,melastigma,hdrr
6,32000001,33000000,32118514,6733,673,376,14,0.9282,0.637,0.5628,melastigma,hdrr
15,1,1000000,744159,20410,671,442.5,6,0.9732,0.8216,0.6915,melastigma,hdrr
15,1000001,2000000,1469460,47448,3657,1905,71,0.9281,0.7066,0.5747,melastigma,hdrr
15,2000001,3000000,2498235,45984,3347,1671.5,59,0.9318,0.6572,0.5311,melastigma,hdrr
15,3000001,4000000,3500156,45462,1730,781,36,0.9119,0.6207,0.5038,melastigma,hdrr
15,4000001,5000000,4292763,10962,520,219,10,0.9127,0.5305,0.4354,melastigma,hdrr
