scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM,p1,p2
15,1,1000000,744159,20410,692,437.5,8.5,0.9619,0.8354,0.6961,melastigma,hdrr
15,1000001,2000000,1469460,47448,3689,1907,74.5,0.9248,0.7245,0.5875,melastigma,hdrr
15,2000001,3000000,2498235,45984,3415,1660.5,55.5,0.9353,0.6727,0.543,melastigma,hdrr
15,3000001,4000000,3500156,45462,1731,774,32,0.9206,0.6327,0.5108,melastigma,hdrr
15,4000001,5000000,4292763,10962,530,221,11.5,0.9011,0.5251,0.4308,melastigma,hdrr
15,5000001,6000000,5514160,43445,4051,1796.5,87.5,0.9071,0.6512,0.4719,melastigma,hdrr
15,6000001,7000000,6493888,47205,4112,1879,66,0.9321,0.6924,0.4984,melastigma,hdrr
15,7000001,8000000,7509903,49777,2277,875,65,0.8617,0.4989,0.4276,melastigma,hdrr
15,8000001,9000000,8500825,42666,2550,1322,75,0.8926,0.7416,0.569,melastigma,hdrr
15,9000001,10000000,9501963,44669,2281,1116.5,36,0.9375,0.6619,0.5017,melastigma,hdrr
15,11000001,12000000,11502828,40468,2939,1177,74,0.8817,0.5782,0.4327,melastigma,hdrr
15,12000001,13000000,12498830,41639,5844,2562.5,109.5,0.918,0.5954,0.4717,melastigma,hdrr
15,13000001,14000000,13517589,44324,6141,2443,160,0.8771,0.5822,0.4348,melastigma,hdrr
15,14000001,15000000,14450944,38696,3791,1574,85,0.8975,0.5789,0.4428,melastigma,hdrr
15,15000001,16000000,15507022,39450,3745,1888,62,0.9364,0.71,0.5549,melastigma,hdrr
15,16000001,17000000,16510903,35024,2425,1140.5,23,0.9605,0.6927,0.4896,melastigma,hdrr
15,17000001,18000000,17904819,2705,300,116,6,0.9016,0.5528,0.3873,melastigma,hdrr
15,18000001,19000000,18561998,33980,8158,4338,85,0.9616,0.6836,0.5393,melastigma,hdrr
15,19000001,20000000,19512947,33911,4253,2113,80,0.927,0.6343,0.5383,melastigma,hdrr
15,20000001,21000000,20496455,37776,6230,2799.5,110,0.9244,0.6038,0.48,melastigma,hdrr
15,21000001,22000000,21479959,36448,6674,3210.5,103.5,0.9375,0.6211,0.5027,melastigma,hdrr
15,22000001,23000000,22498930,38255,7613,3555,138,0.9253,0.6109,0.4847,melastigma,hdrr
15,23000001,24000000,23505022,38389,8782,3744,252,0.8739,0.5296,0.4198,melastigma,hdrr
15,24000001,25000000,24503190,38829,3586,1690,70,0.9205,0.5643,0.4908,melastigma,hdrr
15,25000001,26000000,25493801,40357,7175,3968.5,72.5,0.9641,0.6274,0.5631,melastigma,hdrr
15,26000001,27000000,26507622,43197,10311,4358,301,0.8708,0.5676,0.4812,melastigma,hdrr
15,27000001,28000000,27493764,41014,6413,2872,191,0.8753,0.5586,0.4895,melastigma,hdrr
15,28000001,29000000,28508444,41152,7690,3819.5,145.5,0.9266,0.6069,0.5309,melastigma,hdrr
15,29000001,30000000,29500245,26345,3080,1626,56,0.9334,0.6557,0.5562,melastigma,hdrr
15,30000001,31000000,30164265,10050,532,333,9,0.9474,0.7517,0.6506,melastigma,hdrr
3,1,1000000,543313,38021,579,271.5,16.5,0.8854,0.7239,0.5686,melastigma,hdrr
3,4000001,5000000,4535893,35297,3776,1660.5,104,0.8821,0.5842,0.4776,melastigma,hdrr
3,6000001,7000000,6463219,39021,2206,786,74,0.8279,0.6199,0.4332,melastigma,hdrr
3,7000001,8000000,7758713,14496,297,153,4.5,0.9429,0.6697,0.587,melastigma,hdrr
3,8000001,9000000,8501426,44228,4032,2618,31.5,0.9762,0.8076,0.7114,melastigma,hdrr
