distance to tss	transcript id	gene id	transcript name	chromosome	start	end	strand	feature type	transcript biotype
-10859	ensorlt00000012260	sorlg00000009772	bmp2-201	24	2429221	2434265	+	mRNA	protein_coding
20453	ensorlt00000012342	sorlg00000009834	fermt1-201	24	2461687	2474200	+	mRNA	protein_coding
22068	ensorlt00000040555	sorlg00000009834	fermt1-202	24	2463302	2474200	+	mRNA	protein_coding
36911	ensorlt00000012374	sorlg00000009862	trmt6-201	24	2478145	2489541	+	mRNA	protein_coding
-45347	ensorlt00000012252	sorlg00000009757	plcb1-201	24	2272836	2394733	-	mRNA	protein_coding
-45347	ensorlt00000045481	sorlg00000009757	plcb1-202	24	2272836	2394733	-	mRNA	protein_coding
-45347	ensorlt00000028103	sorlg00000009757	plcb1-203	24	2273005	2394733	-	mRNA	protein_coding
57601	ensorlt00000012439	sorlg00000009915		24	2498835	2506007	+	mRNA	protein_coding
57601	ensorlt00000012440	sorlg00000009915		24	2498835	2506007	+	mRNA	protein_coding
-63709	ensorlt00000034537	sorlg00000023377	ensorle00000308364	24	2376371	2379334	+	mRNA	protein_coding
69921	ensorlt00000012446	sorlg00000009921		24	2508109	2511155	-	mRNA	protein_coding
73611	ensorlt00000032288	sorlg00000009957	gpcpd1-202	24	2514845	2526064	+	mRNA	protein_coding
73611	ensorlt00000012494	sorlg00000009957	gpcpd1-201	24	2514845	2528046	+	mRNA	protein_coding
74047	ensorlt00000044932	sorlg00000009957	gpcpd1-203	24	2515281	2530496	+	mRNA	protein_coding
89782	ensorlt00000012539	sorlg00000009991	napb-201	24	2531016	2536774	+	mRNA	protein_coding
89782	ensorlt00000012537	sorlg00000009991	napb-202	24	2531016	2550909	+	mRNA	protein_coding
