distance to tss	transcript id	gene id	transcript name	chromosome	start	end	strand	feature type	transcript biotype
-20499	ensorlt00000036632	sorlg00000022245		16	32156357	32162882	+	mRNA	protein_coding
20748	ensorlt00000021230	sorlg00000016969	col6a6-201	16	32198236	32226518	+	mRNA	protein_coding
22628	ensorlt00000030393	sorlg00000016969	col6a6-202	16	32200116	32213443	+	mRNA	protein_coding
-29633	ensorlt00000028392	sorlg00000027094		16	32147223	32154783	+	mRNA	protein_coding
-33309	ensorlt00000021234	sorlg00000016974	rpp25l-201	16	32138730	32143547	-	mRNA	protein_coding
-45953	ensorlt00000037466	sorlg00000022649		16	32129055	32130903	-	mRNA	protein_coding
48002	ensorlt00000029380	sorlg00000025276		16	32225490	32229522	+	mRNA	protein_coding
-52403	ensorlt00000032826	sorlg00000022708		16	32124453	32128018	+	mRNA	protein_coding
-58027	ensorlt00000021244	sorlg00000016981		16	32118829	32122146	+	mRNA	protein_coding
60820	ensorlt00000032950	sorlg00000030571	pik3r4-201	16	32230182	32238308	-	mRNA	protein_coding
62431	ensorlt00000035497	sorlg00000024137	atp2c1-202	16	32239919	32264425	+	mRNA	protein_coding
-63013	ensorlt00000021252	sorlg00000016987	zgc:153896-201	16	32106424	32113843	-	mRNA	protein_coding
78199	ensorlt00000046655	sorlg00000024137	atp2c1-201	16	32255687	32259907	+	mRNA	protein_coding
-79217	ensorlt00000028678	sorlg00000029055		16	32097639	32100295	+	mRNA	protein_coding
-79534	ensorlt00000044567	sorlg00000029055		16	32097322	32100295	+	mRNA	protein_coding
-82006	ensorlt00000043309	sorlg00000023204		16	32091420	32094850	-	mRNA	protein_coding
89822	ensorlt00000025236	sorlg00000020358	aldh5a1-201	16	32267310	32273293	+	mRNA	protein_coding
-91571	ensorlt00000021305	sorlg00000017022	slc4a7-201	16	32085285	32095908	+	mRNA	protein_coding
-97657	ensorlt00000036531	sorlg00000030535	ensorle00000234034	16	32079199	32082192	+	mRNA	protein_coding
99450	ensorlt00000032476	sorlg00000028054	si:ch73-215d9.1-203	16	32273890	32276938	-	mRNA	protein_coding
