scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM,p1,p2
18,1000001,2000000,1482580,42614,4574,1233.5,152.5,0.7799,0.4149,0.2945,melastigma,hdrr
18,2000001,3000000,2485680,72444,751,238.5,15.5,0.878,0.4675,0.3756,melastigma,hdrr
18,3000001,4000000,3413667,56261,8038,3058.5,132.5,0.917,0.5342,0.4444,melastigma,hdrr
18,4000001,5000000,4510029,46421,4753,1935.5,69.5,0.9307,0.6858,0.4611,melastigma,hdrr
18,5000001,6000000,5507233,46364,7905,3480,139,0.9232,0.6403,0.4805,melastigma,hdrr
18,6000001,7000000,6561042,35472,6251,2552,204,0.852,0.5498,0.4605,melastigma,hdrr
18,7000001,8000000,7487234,75735,5560,1200,279.5,0.6222,0.3347,0.1954,melastigma,hdrr
18,8000001,9000000,8499879,43463,9496,3442.5,266.5,0.8563,0.6265,0.4277,melastigma,hdrr
18,9000001,10000000,9494141,42537,2825,1637,37.5,0.9552,0.7158,0.6229,melastigma,hdrr
18,10000001,11000000,10497363,39919,4911,1919.5,186,0.8233,0.5568,0.4589,melastigma,hdrr
18,11000001,12000000,11489137,39470,3910,2157,58.5,0.9472,0.6944,0.6028,melastigma,hdrr
18,12000001,13000000,12507270,41194,8390,3607.5,152,0.9191,0.6071,0.4882,melastigma,hdrr
18,13000001,14000000,13444838,41077,4439,1667.5,130.5,0.8548,0.5744,0.4366,melastigma,hdrr
18,14000001,15000000,14516905,39640,537,155,8,0.9018,0.3925,0.3352,melastigma,hdrr
18,15000001,16000000,15531760,45539,5970,2777,162.5,0.8894,0.6217,0.5129,melastigma,hdrr
18,16000001,17000000,16495605,54122,6614,3159.5,70,0.9566,0.7954,0.5352,melastigma,hdrr
18,17000001,18000000,17528529,44646,3067,1384.5,97.5,0.8684,0.6586,0.5046,melastigma,hdrr
18,18000001,19000000,18526228,36757,5451,2300,148,0.8791,0.6021,0.4682,melastigma,hdrr
18,19000001,20000000,19496933,41983,495,263,11.5,0.9162,0.7441,0.5985,melastigma,hdrr
18,20000001,21000000,20416446,20326,1612,660.5,56,0.8437,0.5692,0.4501,melastigma,hdrr
18,21000001,22000000,21513987,40599,5625,2552.5,169,0.8758,0.6207,0.4833,melastigma,hdrr
18,22000001,23000000,22544708,49188,2859,975.5,72,0.8625,0.4488,0.3403,melastigma,hdrr
18,26000001,27000000,26523487,57529,3666,1021.5,106.5,0.8112,0.3931,0.2928,melastigma,hdrr
18,27000001,28000000,27456135,52775,4421,2153,103,0.9087,0.6157,0.5183,melastigma,hdrr
18,28000001,29000000,28496380,50805,3637,1551,85,0.8961,0.6252,0.459,melastigma,hdrr
18,29000001,30000000,29477614,58256,4450,1821,103.5,0.8924,0.6375,0.4092,melastigma,hdrr
18,30000001,31000000,30449410,19495,1589,805.5,29,0.9305,0.7086,0.5341,melastigma,hdrr
5,1,1000000,630207,33255,1116,585,13,0.9565,0.713,0.5431,melastigma,hdrr
5,1000001,2000000,1498398,40019,541,224.5,18,0.8515,0.6453,0.4293,melastigma,hdrr
5,2000001,3000000,2439725,31666,2435,985,65.5,0.8753,0.5994,0.4325,melastigma,hdrr
5,3000001,4000000,3523401,38665,1256,607.5,12,0.9613,0.7815,0.5372,melastigma,hdrr
5,4000001,5000000,4498902,41461,1564,712,26.5,0.9282,0.7419,0.5474,melastigma,hdrr
5,5000001,6000000,5494579,41234,1653,885,33,0.9281,0.6854,0.556,melastigma,hdrr
5,6000001,7000000,6505546,42756,1531,719.5,33,0.9123,0.6672,0.4919,melastigma,hdrr
5,7000001,8000000,7492934,42680,3843,1792.5,54,0.9415,0.6373,0.5277,melastigma,hdrr
5,8000001,9000000,8484104,39660,3519,1140,101.5,0.8365,0.5277,0.3764,melastigma,hdrr
5,9000001,10000000,9494385,41889,7378,4605,97.5,0.9585,0.8164,0.6911,melastigma,hdrr
5,10000001,11000000,10497333,39911,5683,3538.5,67.5,0.9626,0.8157,0.667,melastigma,hdrr
5,11000001,12000000,11495816,43318,7012,3247,138,0.9185,0.6551,0.5372,melastigma,hdrr
5,12000001,13000000,12471852,43450,8172,3831,168.5,0.9157,0.6608,0.538,melastigma,hdrr
5,13000001,14000000,13486670,39841,5054,2509,64,0.9503,0.6738,0.5468,melastigma,hdrr
5,14000001,15000000,14502452,42386,9336,5078,105.5,0.9593,0.7498,0.6138,melastigma,hdrr
5,15000001,16000000,15506462,40517,7604,4542,53,0.9769,0.8079,0.6548,melastigma,hdrr
5,16000001,17000000,16512503,40159,7769,4127,110,0.9481,0.7425,0.6008,melastigma,hdrr
5,17000001,18000000,17493707,34442,7471,3296.5,230,0.8696,0.6251,0.5095,melastigma,hdrr
5,18000001,19000000,18504802,38650,8034,4244,188.5,0.9149,0.6788,0.5804,melastigma,hdrr
5,19000001,20000000,19521623,36206,9271,5146,157.5,0.9406,0.725,0.6304,melastigma,hdrr
5,20000001,21000000,20523706,41134,9481,3715,265,0.8668,0.5284,0.4309,melastigma,hdrr
5,21000001,22000000,21508251,43222,5328,2298,139.5,0.8855,0.6148,0.4916,melastigma,hdrr
5,22000001,23000000,22498644,45627,9282,4063,336.5,0.847,0.6479,0.5244,melastigma,hdrr
5,23000001,24000000,23495590,41265,9191,4179,226.5,0.8972,0.6616,0.536,melastigma,hdrr
5,24000001,25000000,24488769,38401,2169,1215,48.5,0.9232,0.741,0.6283,melastigma,hdrr
5,25000001,26000000,25552211,36402,6288,2360.5,160.5,0.8727,0.5886,0.4408,melastigma,hdrr
5,26000001,27000000,26456026,30140,4787,2630.5,91.5,0.9328,0.738,0.6227,melastigma,hdrr
5,27000001,28000000,27520186,39766,3909,2283.5,50.5,0.9567,0.8147,0.6578,melastigma,hdrr
5,28000001,29000000,28430518,34396,8640,4735,139,0.943,0.7579,0.6088,melastigma,hdrr
5,29000001,30000000,29523252,36390,4042,1686.5,104,0.8838,0.5572,0.4567,melastigma,hdrr
5,30000001,31000000,30603783,28814,3738,1749.5,92,0.9001,0.6398,0.4991,melastigma,hdrr
5,31000001,32000000,31509305,43495,7061,2252.5,229.5,0.8151,0.5106,0.3443,melastigma,hdrr
5,32000001,33000000,32420301,33982,370,153,7,0.9125,0.6327,0.4639,melastigma,hdrr
20,1,1000000,643975,23058,1475,721,28.5,0.9239,0.6535,0.5254,melastigma,hdrr
20,1000001,2000000,1513757,44496,2520,1162,38,0.9367,0.6707,0.5095,melastigma,hdrr
20,2000001,3000000,2545426,28170,906,384,17.5,0.9128,0.5838,0.4561,melastigma,hdrr
20,3000001,4000000,3511726,39217,3791,2038,55.5,0.947,0.67490000000000006,0.5723,melastigma,hdrr
20,4000001,5000000,4476520,43302,3281,1684.5,67,0.9235,0.676,0.5617,melastigma,hdrr
20,5000001,6000000,5448891,33089,3130,1789.5,65,0.9299,0.7624,0.653,melastigma,hdrr
20,6000001,7000000,6690054,31620,2592,1556,46.5,0.942,0.7466,0.6528,melastigma,hdrr
20,7000001,8000000,7506059,41100,4584,2559,55.5,0.9575,0.7036,0.6204,melastigma,hdrr
