	HDRR_1	HDRR_2	HDRR_3	HDRR_4	HDRR_5	HDRR_6	HDRR_7	HDRR_8	HDRR_9	HDRR_10	HDRR_11	HDRR_12	HDRR_13	HDRR_14	HDRR_15	HDRR_16	HDRR_17	HDRR_18	HDRR_19	HDRR_20	HDRR_21	HDRR_22	HDRR_23	HDRR_24	HDRR_MT
4-1	32813.53676249103	21326.86553913499	30034.938134352724	28091.19201177466	29673.415334586512	26154.378379943195	27158.044430341088	20317.1519225408	26923.6404154694	26882.385927011954	25117.09158401261	26934.799105425995	28054.580298221816	26144.3318849548	24570.583823711375	26044.38109901245	26013.312317107477	25052.218088322938	20185.377184995294	20025.68645023218	26768.240078881725	23610.178387535823	23220.360558829838	18546.47287207694	0.0
4-2	33145.96826833528	21262.91271689436	29696.78601263674	28315.329608445943	30008.804761645275	26246.80354927278	27488.91280044188	20398.76456434816	26757.133572299113	26849.701965103457	24986.19093044615	26981.93970001403	27754.75065095308	26380.663605077432	24482.170178446187	25797.3211244898	26021.986974183244	24992.121737414825	20280.70318863962	20132.703856256467	26526.31950668685	23736.649888208776	23411.443191647035	18417.021476910362	0.0
7-1	33345.8324070942	20983.124674944298	30171.92550206765	28057.712661276553	29428.252857017476	25775.922885265114	27374.69152845345	20035.263538403662	27102.995616556447	27139.371109714528	24820.51858343348	27097.226301925737	27668.42289549777	25897.342877693136	24566.16762085852	25691.20401956399	26129.747455471228	24980.462447994494	20316.2538965639	20212.259246810376	26791.478796807587	23792.94470042764	23400.78262643113	18573.39951688511	0.0
7-2	33298.953968771864	21191.18994009237	30429.001635813736	28340.714859870033	29677.352143211305	26203.62824671709	27386.93041813197	20331.493078274463	27017.59873383777	27350.61574348211	25126.97233748232	27235.72248114605	28003.720247611418	26018.98119845771	24658.94955318735	25779.076499345483	26242.76066567474	25055.63408600068	20269.643864826456	20061.537825606996	26877.422357743122	23834.255828905494	23362.588103841365	18503.67168880993	0.0
11-1	32913.27681198379	21133.060356988	29786.855542666082	28155.395041209154	29323.24224425019	25721.601020918195	26771.88998818119	20127.08135491754	26806.618484380648	26879.580816631755	24902.043285194348	26449.648575743882	27375.469305810853	25659.235735258753	24554.185671938874	25950.41953879928	25866.25099452517	24564.069975440434	20473.856776813864	19907.220513180793	26790.075281955156	23525.974215111946	22843.624831698955	18080.277155152333	0.0
69-1	33822.480664529874	21459.23414842127	30269.61673524274	28313.55400162134	29964.844453585458	26254.68368914795	27555.709497551936	20360.078913368918	27217.437285041135	27322.066871712155	25257.846555816635	27348.464658510602	28208.027193312257	26270.236090419323	24801.432046391066	26129.130006280175	26486.78744425343	24847.950519595706	20772.658345457916	20235.714344771524	27103.916092245057	23975.36989574938	23471.39576451214	18608.67034070957	0.0
79-2	33111.5116308132	20835.98660638331	30101.36767837797	27927.805748873125	29823.530025900138	26149.53212734329	27353.354423472647	20507.99617860753	26921.511256666807	27053.22723374435	25018.096637954895	27058.64354269789	27791.940031190577	25957.579802576387	24749.205392502216	25687.077623783327	26257.01290729864	24684.57463910366	20330.81630948399	20210.041995422143	26507.49903041307	23974.218704091352	23269.144304931287	18587.220902212477	0.0
80-1	32815.32822505569	20846.58397102124	29537.132729494428	27683.02873193925	28882.190037245007	25836.55222842148	27090.00265400171	19910.15492695663	26348.947135677467	26377.694144837435	24675.988915084865	26587.673024285214	27752.42031392741	25432.30611308257	24515.548836873484	25712.118150261773	25978.196165555062	24284.216595044487	19920.145791787	19786.31471173792	26353.816591350635	23291.90905602262	23018.71556990856	18136.116606969874	0.0
117-2	33251.993638845284	21496.959356234227	29728.764575092297	28209.559165035516	29821.92829368705	26130.088199068465	27542.974655849368	20411.873218510264	27194.39612314307	27431.38431108753	25085.227357721684	27307.860869007112	28315.737125775584	26230.754213510158	24618.070646276818	26009.96788544593	26339.110676277785	25135.17318271384	20314.529717552552	20284.63539187276	27260.884925937768	24003.749635089953	23368.069217746302	18654.22125352832	0.0
131-1	31146.185074393772	19628.732940965794	30332.969029475385	24972.170908831205	30686.97606788978	26826.328555474614	28191.647234460932	19819.276544883847	27931.506062729088	23955.076032992114	25418.180791459876	26955.73001623938	28729.948311685956	25903.03732817571	22792.13890351852	25540.681332396543	26046.72528184623	24114.96860132112	19968.33673465679	20681.825875198072	22897.086827806022	24693.892621247473	20366.087798508295	17730.38002423931	0.0
134-1	33182.66964143307	21230.636492653215	30275.276924671885	28364.337875654728	29776.667576695916	26339.500780839644	27312.64148829542	19832.951038592397	26906.08246448623	27074.57584868987	24847.328166141935	26980.585843198103	27970.912659787464	26070.111104542073	24763.526039321372	25866.83224370743	26148.893988029587	24926.255223193297	19419.840268534383	20106.914668957677	26437.11563935591	23697.32000066147	23102.197297617073	18564.674942364287	0.0
134-2	33313.33565087844	21314.526568850833	29832.021705281593	28525.173181709404	30089.165315176797	26260.472029239587	27413.326174878726	19829.34640055395	26859.82071988237	27116.197349391008	24815.42729684992	27065.49554403482	27610.867622016805	26076.101084921396	24828.957370368735	25512.018529599984	26521.202488008777	24995.65237552876	20372.00327946074	20093.124032384138	27244.83946789973	23846.969671009025	23339.33184867122	18679.260436591834	0.0
