distance to tss	transcript id	gene id	transcript name	chromosome	start	end	strand	feature type	transcript biotype
0	ensorlt00000025024	sorlg00000020169	psen2-201	1	512082	515724	-	mRNA	protein_coding
-4257	ensorlt00000025021	sorlg00000020166	dpy30-201	1	510708	511164	+	mRNA	protein_coding
-12037	ensorlt00000038837	sorlg00000023920	srd5a2a-203	1	502928	508769	+	mRNA	protein_coding
-12037	ensorlt00000033873	sorlg00000023920	srd5a2a-202	1	502928	508769	+	mRNA	protein_coding
-12669	ensorlt00000040272	sorlg00000023920	srd5a2a-201	1	502296	508769	+	mRNA	protein_coding
26455	ensorlt00000035037	sorlg00000021978	slc8a1a-210	1	521725	542458	-	mRNA	protein_coding
26992	ensorlt00000045405	sorlg00000021978	slc8a1a-209	1	521725	542995	-	mRNA	protein_coding
26992	ensorlt00000030217	sorlg00000021978	slc8a1a-208	1	521725	542995	-	mRNA	protein_coding
27139	ensorlt00000036828	sorlg00000021978	slc8a1a-207	1	521725	543142	-	mRNA	protein_coding
28418	ensorlt00000036277	sorlg00000021978	slc8a1a-206	1	521725	544421	-	mRNA	protein_coding
28637	ensorlt00000046564	sorlg00000021978	slc8a1a-205	1	521725	544640	-	mRNA	protein_coding
28637	ensorlt00000042400	sorlg00000021978	slc8a1a-204	1	521725	544640	-	mRNA	protein_coding
29776	ensorlt00000030557	sorlg00000021978	slc8a1a-203	1	521725	545779	-	mRNA	protein_coding
29983	ensorlt00000040293	sorlg00000021978	slc8a1a-202	1	521725	545986	-	mRNA	protein_coding
30533	ensorlt00000041498	sorlg00000021978	slc8a1a-201	1	521725	546536	-	mRNA	protein_coding
-35017	ensorlt00000025879	sorlg00000027314		1	479550	479948	-	mRNA	protein_coding
-39552	ensorlt00000046636	sorlg00000027389		1	472837	475413	-	mRNA	protein_coding
-43381	ensorlt00000041801	sorlg00000030658		1	467110	471584	-	mRNA	protein_coding
-46177	ensorlt00000027846	sorlg00000028387	ensorle00000301183	1	468788	471196	+	mRNA	protein_coding
51624	ensorlt00000033392	sorlg00000030543		1	565559	567627	-	mRNA	protein_coding
-51806	ensorlt00000037260	sorlg00000029940		1	458637	463159	-	mRNA	protein_coding
56577	ensorlt00000035193	sorlg00000023941	ensorle00000292940	1	572580	575435	+	mRNA	protein_coding
-57964	ensorlt00000035008	sorlg00000024989	pet117-201	1	455152	457001	-	mRNA	protein_coding
-59924	ensorlt00000025875	sorlg00000020896	kat14-201	1	449808	455041	-	mRNA	protein_coding
61404	ensorlt00000037608	sorlg00000025109	ensorle00000283449	1	577407	578684	+	mRNA	protein_coding
63465	ensorlt00000043216	sorlg00000026450		1	579468	581187	+	mRNA	protein_coding
63642	ensorlt00000040328	sorlg00000024894		1	575482	579645	-	mRNA	protein_coding
70038	ensorlt00000024302	sorlg00000021846	rab1aa-202	1	583375	586041	-	mRNA	protein_coding
70978	ensorlt00000029108	sorlg00000021846	rab1aa-201	1	580882	586981	-	mRNA	protein_coding
-76339	ensorlt00000025874	sorlg00000020895		1	438626	448849	+	mRNA	protein_coding
96960	ensorlt00000035585	sorlg00000022060	spred2a-201	1	593930	612963	-	mRNA	protein_coding
-97625	ensorlt00000023239	sorlg00000022412	polr3f-202	1	414764	417340	-	mRNA	protein_coding
-97625	ensorlt00000026944	sorlg00000022412	polr3f-201	1	412560	417340	-	mRNA	protein_coding
