distance to tss	transcript id	gene id	transcript name	chromosome	start	end	strand	feature type	transcript biotype
-43165	ensorlt00000035543	sorlg00000030584		19	17560011	17624436	-	mRNA	protein_coding
-43165	ensorlt00000036475	sorlg00000030584		19	17560011	17624436	-	mRNA	protein_coding
44226	ensorlt00000023348	sorlg00000018681	myo15b-201	19	17712681	17728730	+	mRNA	protein_coding
56629	ensorlt00000041060	sorlg00000021944		19	17720947	17725084	-	mRNA	protein_coding
-59587	ensorlt00000045586	sorlg00000030584		19	17560011	17608014	-	mRNA	protein_coding
71336	ensorlt00000023378	sorlg00000018711	g6pca.2-202	19	17737446	17739791	-	mRNA	protein_coding
71608	ensorlt00000037829	sorlg00000018711	g6pca.2-201	19	17735479	17740063	-	mRNA	protein_coding
73226	ensorlt00000023398	sorlg00000018731	g6pca.1-203	19	17741681	17745328	+	mRNA	protein_coding
73226	ensorlt00000032072	sorlg00000018731	g6pca.1-202	19	17741681	17745773	+	mRNA	protein_coding
73226	ensorlt00000041212	sorlg00000018731	g6pca.1-201	19	17741681	17745984	+	mRNA	protein_coding
-82755	ensorlt00000032335	sorlg00000030584		19	17560011	17584846	-	mRNA	protein_coding
92000	ensorlt00000023460	sorlg00000018778	psme3-202	19	17756427	17760455	-	mRNA	protein_coding
92241	ensorlt00000031405	sorlg00000018778	psme3-201	19	17755227	17760696	-	mRNA	protein_coding
96774	ensorlt00000023539	sorlg00000018851	nbr1a-201	19	17765229	17779921	+	mRNA	protein_coding
97150	ensorlt00000033149	sorlg00000025487	ensorle00000232172	19	17765605	17765667	+	ncRNA	misc_rna
