pvalue	chromosome	start	end	Number of nearby TSS	closest tx id	closest tx name	closest tx biotype	distance to tss
1.35676709078309e-60	15	13014693	13015794	26	ensorlt00000004176		protein_coding	0
5.419421751439503e-58	16	26220047	26221325	10	ensorlt00000019438	sh3bp5b-201	protein_coding	-24958
1.4608137845346279e-56	17	316390	318610	5	ensorlt00000002667		protein_coding	-155
6.734997184842438e-55	11	27686928	27688355	3	ensorlt00000017935		protein_coding	-21358
1.222102680122649e-54	2	12169442	12171060	3	ensorlt00000028404		protein_coding	-21573
1.2519800977732662e-53	4	7874048	7875618	12	ensorlt00000006287	onecut3a-201	protein_coding	-11370
4.518175608091552e-50	2	23361417	23362425	4	ensorlt00000007888	gart-201	protein_coding	-38910
1.558228768213253e-47	15	1565040	1565987	13	ensorlt00000023980	galm-201	protein_coding	12910
1.7078032253564734e-45	16	7720134	7721846	20	ensorlt00000030918		protein_coding	0
3.462539128053918e-43	8	450569	451548	25	ensorlt00000033385		protein_coding	0
4.889197792201375e-43	8	23224550	23225428	31	ensorlt00000020885	dnase1-201	protein_coding	-3599
8.175826815864256e-42	2	3660038	3660922	7	ensorlt00000030756		protein_coding	1339
3.411131908228185e-41	5	19638728	19639909	3	ensorlt00000012721	ptprga-201	protein_coding	-42024
3.411131908228185e-41	22	1816785	1817685	40	ensorlt00000040061	tc2n-202	protein_coding	3476
4.180166553753608e-40	14	24222331	24223586	17	ensorlt00000017345	pgap2-201	protein_coding	2381
1.1109002198384807e-39	20	15042642	15043458	10	ensorlt00000009283	myrip-201	protein_coding	13518
1.5463344940099572e-39	3	309650	310584	18	ensorlt00000032145		protein_coding	3012
2.083963922036263e-38	19	1948176	1949405	19	ensorlt00000036726		protein_coding	-2370
3.034175150385605e-38	14	29614617	29615705	8	ensorlt00000041944	sgcd-201	protein_coding	8035
6.786159298415879e-38	17	48535	49910	0				
2.549729414518556e-37	16	7663486	7664331	21	ensorlt00000046836	chsy1-201	protein_coding	-33723
2.971878304521792e-37	3	7956996	7957867	0				
2.0192889787907408e-36	24	10286328	10287069	16	ensorlt00000030196	mfsd4b-201	protein_coding	0
