distance to tss	transcript id	gene id	transcript name	chromosome	start	end	strand	feature type	transcript biotype
-3154	ensorlt00000022882	sorlg00000018272		5	32491366	32492623	-	mRNA	protein_coding
-19904	ensorlt00000021662	sorlg00000017308		5	32465895	32475873	-	mRNA	protein_coding
-39825	ensorlt00000038941	sorlg00000028101		5	32454119	32455952	-	mRNA	protein_coding
44636	ensorlt00000021684	sorlg00000017336	slmapa-201	5	32499651	32541879	-	mRNA	protein_coding
-46566	ensorlt00000038580	sorlg00000024253	si:ch211-193l2.10-201	5	32443228	32449211	-	mRNA	protein_coding
50292	ensorlt00000021720	sorlg00000017366	dennd6aa-201	5	32547535	32555353	+	mRNA	protein_coding
-57191	ensorlt00000021596	sorlg00000017261		5	32438586	32440337	+	mRNA	protein_coding
-62801	ensorlt00000021591	sorlg00000017257		5	32432976	32434365	+	mRNA	protein_coding
73749	ensorlt00000021736	sorlg00000017377		5	32570992	32573006	+	mRNA	protein_coding
-75190	ensorlt00000024156	sorlg00000019405		5	32420587	32423200	+	mRNA	protein_coding
-79518	ensorlt00000033453	sorlg00000026902		5	32416259	32417059	+	mRNA	protein_coding
-86373	ensorlt00000023805	sorlg00000019089	ccdc51-201	5	32407001	32409404	-	mRNA	protein_coding
87844	ensorlt00000021750	sorlg00000017390	hesx1-201	5	32574640	32585087	-	mRNA	protein_coding
89086	ensorlt00000021760	sorlg00000017397	il17rd-201	5	32586329	32612082	+	mRNA	protein_coding
