scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM,p1,p2
5,1,1000000,630207,33255,1127,579.5,14,0.9528,0.739,0.5567,melastigma,hdrr
5,1000001,2000000,1498398,40019,567,224.5,15,0.8747,0.6736,0.4397,melastigma,hdrr
5,2000001,3000000,2439725,31666,2472,979.5,65.5,0.8746,0.607,0.437,melastigma,hdrr
5,3000001,4000000,3523401,38665,1259,608.5,13.5,0.9566,0.7894,0.5434,melastigma,hdrr
5,4000001,5000000,4498902,41461,1554,718,25.5,0.9314,0.7575,0.5553,melastigma,hdrr
5,5000001,6000000,5494579,41234,1680,891,34,0.9265,0.6848,0.5533,melastigma,hdrr
5,6000001,7000000,6505546,42756,1555,708.5,38,0.8982,0.6361,0.4705,melastigma,hdrr
5,7000001,8000000,7492934,42680,3754,1796,56.5,0.939,0.626,0.5202,melastigma,hdrr
5,8000001,9000000,8484104,39660,3476,1137,107.5,0.8272,0.5132,0.3673,melastigma,hdrr
5,9000001,10000000,9494385,41889,7250,4627,105,0.9556,0.803,0.6822,melastigma,hdrr
5,10000001,11000000,10497333,39911,5603,3494,62,0.9651,0.7891,0.6465,melastigma,hdrr
5,11000001,12000000,11495816,43318,6828,3225.5,140.5,0.9165,0.6363,0.5236,melastigma,hdrr
5,12000001,13000000,12471852,43450,8104,3745.5,177.5,0.9095,0.6063,0.4983,melastigma,hdrr
5,13000001,14000000,13486670,39841,5076,2382,86.5,0.9299,0.5946,0.4877,melastigma,hdrr
5,14000001,15000000,14502452,42386,9460,4783,132,0.9463,0.6828,0.5644,melastigma,hdrr
5,15000001,16000000,15506462,40517,7529,4530.5,52,0.9773,0.8048,0.6528,melastigma,hdrr
5,16000001,17000000,16512503,40159,7767,4151.5,108,0.9493,0.7434,0.6025,melastigma,hdrr
5,17000001,18000000,17493707,34442,7447,3315,229,0.8708,0.627,0.5107,melastigma,hdrr
5,18000001,19000000,18504802,38650,8078,4247.5,187.5,0.9154,0.6834,0.5834,melastigma,hdrr
5,19000001,20000000,19521623,36206,9322,5141.5,149.5,0.9435,0.7319,0.6357,melastigma,hdrr
